Artist,Genre,Lyrics,Song,Song_Name,isEnglish
Nicki Minaj Featuring Beyonce,Rap,Yo B they ready Lets go  BeyoncÌ© Feelin myself Im feelin myself Im feelin my Feelin myself Im feelin myself Im feelin my feelin my Feelin myself Im feelin myself Im feelin my Feelin myself Im feelin myself Im feelin my Im with some hood girls lookin back at it And a good girl in my tax bracket Got a black card thatll let Saks have it These Chanel bags is a bad habit I-I do balls Dal Mavericks My Maybach black matted Bitch never left but Im back at it And Im feelin myself jack rabbit Feelin myself back off Cause Im feelin myself jack off He be thinking about me when he whacks off Wax on Wax off National anthem hats off Then I curve that nigga like a bad toss Lemme get a number two with some Mac sauce On The Run Tour with my mask off Im feelin myself Im feelin myself Im feelin my Feelin myself Im feelin myself Im feelin my feelin my Feelin myself Im feelin myself Im feelin my Feelin myself Im feelin myself Im feelin my Changed the game with that digital drop Know where you was when that digital popped I stopped the world Male or female it make no difference I stop the world world stopÛ_ Carry on Kitty on fleek pretty on fleek Pretty gang always keep them niggas on geek Ridin-ridin through Texas feed him for his breakfast Everytime I whip it I be talkin so reckless He said Damn Nicki it\s tight I say Yeah nigga you right He said Damn bae you so little but you be really takin\ that pipe I said Yes daddy I do gimme brain like NYU I said Teach me nigga teach me. All this learnin\ here is by you Pre- BeyoncÌ© Moans Uhn! Im whippin that work he diggin that work I got it 36 of that real Panky full of that bounce baby Come get you some of that bounce baby Im feelin myself Im feelin myself Im feelin my Feelin myself Im feelin myself Im feelin my feelin my Feelin myself Im feelin myself Im feelin my Feelin myself Im feelin myself Im feelin my Cookin up that base lookin like a kilo He just wanna taste biggin up my ego Ego ego ego ego ego ego ego ego Ridin through Texas ridin through Texas Smoke it all off talkin bout that high-grade Baby hold up I can kill your migraine Migraine migraine migraine migraine migraine migraine migraine migraine Ridin through Texas ridin through Texas  Nicki Minaj Bitches aint got punchlines or flow I have both and an empire also Keep gettin gifts from Santa Claus at the North Pole Today Im icy but Im prayin for some more snow Let that ho ho let that ho know -- he in love with that coco Why these bitches dont never be learnin You bitches will never get what I be earnin Im still gettin plaques from my records thats urban Aint gotta rely on top 40 I am a Rap legend Just go ask the Kings of Rap who is the Queen and things of that Nature Look at my finger that is a glacier hits like a laser Drippin on that work trippin off that perc Flippin up my skirt and I be whippin all that work Takin trips with all them kis car keys got Bs Stingin with the Queen Bey and we be whippin all of that D Cause we dope girls we flawless we the poster girls for all this We run around with them ballers only real niggas in my call list Im the big kahuna go let them whores know Just on this song alone bitch is on her fourth flow Outro Nicki Minaj Rrrrrrrrrr! You like it dont you Snitches! Young Money,Feeling Myself,,
Rich Gang Featuring Young Thug & Rich Homie Quan,Rap,Produced by London On Da Track London On Da Track bitch Got like 4 ounces in a 20 bitch We came straight from the bottom to the top my lifestyle Nigga livin life like a beginner and this is only beginnin Im on the top of the mountain puffin on clouds and niggas still beginnin Nigga servin great white like Im feedin sharks I wont do nothin with the bitch she cant even get me hard Somethin wrong with the pussy Me and my woadie we dont get caught up like that no way We aint got time to go see doctors J Who said money Hop up in my bed full of forty bitches and yawnin Hey think this a show bitch Im performin I do this shit for my daughters and all my sons bitch I got sisters and brothers to feed I aint goin out like no idiot Im a OG We came straight from the bottom to the top my lifestyle Nigga livin life like a beginner and this is only beginnin Im on the top of the mountain puffin on clouds and niggas still beginnin Still screamin\ Fuck the otherside Ima ride for my nigga aye Quan voice And Ima die for my nigga aye Quan voice Aint gonna be latching on my niggas aye Niggas couldnt see me if they had a genie Ima live my life like Bennie R.I.P. my brother Bennie I stack them racks to the ceiling now these niggas cant beat me I just might wake wantin Chanel and these bitches cant see me Im in a whole other league I aint got AIDS but I swear to God I would bleed til I D.I.E 28 floors up I feel like I could F.L.Y.E.E Pee on top of these bitches God told me they can never stop me so they aint gon stop me Im in that Corvette with baby mommy gettin sloppy toppy Im bleedin red like a devil I see these bitches plotting They wanna know how I got Ms and I didnt finish college We came straight from the bottom to the top my lifestyle Nigga livin life like a beginner and this is only beginnin Im on the top of the mountain puffin on clouds and niggas still beginnin I do it for my daddy I do it for my mama Them long nights I swear to God I do it for the come up Im Willie B beating on my chest in the jungle aye Money on money I got commas in every bank Sunday through Monday Ive been grindin with no sleep Talkin bout takin somethin from me like no way Thugga Thugger thats my brother brother You dont want no trouble trouble or you can get these fists knuckle knuckle Buckle up like a seatbelt or Ill shoot yah Punchin on the gas too fast and I lose yah Give me a bed and Ill do her I want her head Medusa I swear a nigga gone cause this strong Im blowin super Grindin for a new day Im skatin like that nigga Lupe Aye Im on the top just like toupee Aye Im in her mouth just like toothpaste We came straight from the bottom to the top my lifestyle Nigga livin life like a beginner and this is only beginnin Im on the top of the mountain puffin on clouds and niggas still beginnin Sitting in the middle of this ocean Pacific that is You understand me Bunch of bad bitches ya heard Popping that GTV living that lifestyle ya heard I do this for Ms. Gladys boy - 100,Lifestyle,,
DeJ Loaf,Rap, x2 Let a nigga try me try me Im a get his whole mothafuckin family And I aint playin wit nobody Fuck around and Im a catch a body Bitch I got the mac or the 40 Turn a bitch to some macaroni Tell me how you want it Im on it I really mean it Im just not recordin Give lil bro the choppa for all you oppas Leave a bitch nigga head in pasta You are an impostor aint got no money Put the burner to his tummy and make it bubbly I really hate niggas Im a Nazi Love wearin all black you should see my closet Rock that all white when Im feelin Godly Hop out like Coke I aint gotta park it Fuck is yall saying bitch my hood love me 48214 real niggas know me I been out my mind since they killed my cousin Free my cousin Devin man he just called me All these niggas love me cant get em off me Fuck around gave him my number he wont stop callin IBGM be the clique bitch you see us scorin V.I.P in the plural while yo section borin Got a bitch that set it off like Jada Pinkett Queen Latifah You rollin around wit yo nieces bitch you T.T Mind full of money got a heart full of demons Mobbin like Italians we really take yo fingas Turn yo face into a pizza no acne Have you singin like Alicia fuck wit my family They be like you little but got damn she spazzin Do the whole crew my bitches freak nasty Let a nigga try me try me Im a get his whole mothafuckin family And I aint playin wit nobody Fuck around and Im a catch a body Bitch I got the Tommy no Hilfiger Lil Dej aint bout it bitch how you figure I dont do no drugs I be off liquor So lifted flyer than yo girl baby gone and take my picture See I gotta get this money my palms itchin Niggas gossip like hoes most of em bitches I dont wanna do no songs I dont wanna kick it And I aint signin to no label bitch Im independent Let a nigga try me try me Im a get his whole mothafuckin family And I aint playin wit nobody Fuck around and Im a catch a body,Try Me,,
Nicki Minaj,Rap,Produced by Da Internz and Polow Da Don My anaconda dont my anaconda dont My anaconda dont want none unless you got buns hun  Boy toy named Troy used to live in Detroit Big dope dealer money he was gettin some coins Was in shootouts with the law but he live in a palace Bo-bought me Alexander McQueen he was keeping me stylish Now thats real real real Gun in my purse bitch I came dressed to kill Who wanna go first I had them pushing daffodils Im high as hell I only took a half a pill Im on some dumb shit by the way what he say He can tell I aint missing no meals Come through and fuck him in my automobile Let him eat it with his grills and he tellin me to chill And he telling me its real that he love my sex appeal Say he dont like em boney he want something he can grab So I pulled up in the Jag and I hit him with the jab like Dun-d-d-dun-dun-d-d-dun-dun Bridge 1 My anaconda dont my anaconda dont My anaconda dont want none unless you got buns hun Oh my gosh look at her butt Oh my gosh look at her butt I-ohhaha Oh my gosh look at her butt Look at her butt Look at look at look at Look at her butt  Thi-this dude named Michael used to ride motorcycles Di-dick bigger than a tower I aint talking about Eiffels Real country-ass nigga let me play with his rifle Pussy put his ass to sleep now he calling me NyQuil Now that bang bang bang I let him hit it cause he slang cocaine He toss my salad like his name Romaine And when we done I make him buy me Balmain Im on some dumb shit by the way what he say He can tell I aint missing no meals Come through and fuck him in my automobile Let him eat it with his grills and he telling me to chill And he telling me its real that he love my sex appeal He say he dont like em boney he want something he can grab So I pulled up in the Jag Mayweather with the jab like Dun-d-d-dun-dun-d-d-dun-dun... Bridge 1 My anaconda dont my anaconda dont My anaconda dont want none unless you got buns hun Oh my gosh look at her butt Oh my gosh look at her butt I-ohhaha Oh my gosh look at her butt Look at her butt Look at look at look at Look at her butt Little in the middle but she got much back Little in the middle but she got much back Little in the middle but she got much back Oh my God look at her butt Bridge 1 My anaconda dont my anaconda dont My anaconda dont want none unless you got buns hun Do-dont My anaconda dont dont Do-dont want none unless you got buns hun Oh my gosh look at her butt Oh my gosh look at her butt Oh my gosh look at her butt Look at her butt Look at look at look at Look at her butt Outro Yeah he love this fat ass hahahahahahahaha! Yeah! This one is for my bitches with a fat ass in the fucking club I said where my fat ass big bitches in the club Fuck the skinny bitches Fuck the skinny bitches in the club I wanna see all the big fat-ass bitches in the muthafuckin club Fuck you if you skinny bitches what! Kyuh Hahahaha RRRRRR Yeah I got a big fat ass ass ass ass ass Come on!,Anaconda,,
Fergie,Rap,Produced by DJ Mustard   La la la la la La la la la la La la la la la La la la la la   Uh tell em where Im from Finger on the pump make the 6 straight jump from SoCal Hollywood to the slums Chronic smoke get burnt by the California sun On the west side east coast where you at Just got to New York like a net on a jet To London to Brazil to Quebec Like the whole damn world took effect to Ferg Tell em  Pre- 1 Laid back slow down Better represent when we come to your town So lay back slow down Whatchu represent when we come to your town Say get in with the business Ima be there in a minute I just booked a Paris ticket Thinking Russia need a visit Ima run it to the limit And be on my way to Venice   1 L.A. got the people saying la la la la la Brooklyn saying la la la la la Hacienda saying la la la la la Vegas saying la la la la la Rio saying la la la la la Tokyo saying la la la la la Down under saying la la la la la Miami saying la la la la la Jamaica  Post- Every city every state every country you know All around the globe Every city every state every country you know This is how it goes   Uh tell em where Im at From the plaques to the uh uh Everything fat Got Mustard on a track My girls all stack When I roll down the window let me know where youre Atlanta north-south cack a lack Texas grill Cadillacs through Miami then back To London Jamaica then France The whole damn world took effect to Ferg Tell em  Pre- 1 Laid back slow down Better represent when we come to your town So lay back slow down Whatchu represent when we come to your town Say get in with the business Ima be there in a minute I just booked a Paris ticket Thinking Russia need a visit Ima run it to the limit And be on my way to Venice  Pre- 2 Get in with the business When I come from Kansas City Hit Manila till its Christmas Out to India Ill visit Puerto Rico is exquisite Bring my people back to Venice   2 L.A. got the people saying la la la la la Moscow saying la la la la la EspaÌ±a la la la la la Kingston saying la la la la la San Diego saying la la la la la Chi town saying la la la la la Germany saying la la la la la La Puente saying la la la la la Ibiza My mama be like YG you so brazy Have you ever seen a gangsta nigga make a billion dollars Dre did it he from L.A so pop yo collar The LAPD be all over me Tryin to ban me from my own bity I pop a bottle and all the models wanna fuck now We jammin on Pico bustin hoes on Sunset Or I could take you to the Blippers game court seat floor side Eatin on Roscoes chicken wings  3 L.A got the people saying la la la la la Amsterdam saying la la la la la Frisco saying la la la la la Switzerland saying la la la la la Sao Paulo saying la la la la la Joburg saying la la la la la Mexico saying la la la la la Stockholm saying la la la la la Jamaica La la la la la  Outro You on that Cali shit Profit  feel whatever You like to like it We legalizing it Yes you can join us now We like to love it We like to love it We like to love it,L.A.LOVE (la la),,
Drake,Rap,Produced by Boi-1da Frank Dukes Noah 40 Shebib & Nineteen85 Part I 0 to 100 Fuck bein on some chill shit We go 0 to 100 nigga real quick They be on that rap-to-pay-the-bill shit And I dont feel that shit not even a little bit Oh Lord know yourself know your worth nigga My actions been louder than my words nigga How you so high but still so down to Earth nigga If niggas wanna do it we can do it on they turf nigga Oh Lord Im the rookie and the vet Shoutout to the bitches out here holdin down the set All up in my phone lookin at pictures from the other night She gon be upset if she keep scrollin to the left dawg She gon see some shit that she dont wanna see She aint ready for it If I aint the greatest then Im headed for it That mean Im way up way up Yeah the 6 aint friendly but thats where I lay up This shit a mothafuckin lay up I been Steph Curry with the shot Been cookin with the sauce Chef Curry with the pot boy 360 with the wrist boy Who the fuck them niggas is boy OVO man we really with the shits boy Yeah really with the shits I should prolly sign to Hit-Boy cause I got all the hits boy Fuck all that Drake you gotta chill shit I be on my Lil Mouse drill shit Fuck all that rap-to-pay-your-bill shit Im on some Raptors-pay-my-bills shit All up on TV I thought itd make me richer Wasnt payin me enough I needed somethin quicker So now Im all in Nikos basement puttin work in on the phones Either that or drive to Money Mart to make the pickups Man its 2008 Im tryna paint the picture Comeback Season in the works and now Im thinkin bigger I got 40 in the studio every night late night Gotta watch that shit dont want to make him sicker Thats my nigga Oh Lord got a whole lot to show for it I mean we can really get it we can go for it Im just here for the bucks and the billis nigga Dont make me kill one of the GOATs for it I run this shit they like Go Forrest Run Forrest run Forrest go Forrest Yeah I mean you already wrote for us Damn nigga whats one more quote for us Oh Lord who else soundin like this They aint make me what I am they just found me like this I was ready... fuck that Ive been ready Since my dad used to tell me He was comin to the house to get me He aint show up Valuable lesson man I had to grow up Thats why I never ask for help Ill do it for you niggas and do it for myself I go 0 to 100 nigga real quick Real quick whole squad on that real shit 0 to 100 nigga real quick Real quick real fuckin quick nigga 0 to 100 nigga real quick Real quick whole squad on that real shit 0 to 100 nigga real quick Real quick real fuckin quick nigga Part II The Catch Up Bridge Whole squad on that real shit Whole squad on that real shit Whole squad on that real shit The other night Lavish Lee told me that Im all these people listen to She said they love me unconditional Imagine how it feel to watch another nigga at the top You know that if you wasnt you you would be dissin you dawg Damn okay from that perspective I see what youre talkin bout no way to soften that Cause me I was tryna find out where I lost em at But maybe I aint lose em at all Maybe I keep movin forward and theyre just stagnant They aint movin at all But when they need a favor who do they call Maybe Im searchin for the problems Askin what was said and who was involved Too focused on peoples feedback and provin em wrong They say the shoe can always fit no matter whose foot its on These days feel like Im squeezin in em Whoever wore em before just wasnt thinkin big enough Im bout to leave em with em Cause if I run in the game in these man the seams are splittin No pun intended but theyre smellin defeat in the air Headed where nobody took it who meetin me there They tell him that hes talkin crazy but he doesnt care Bein humble dont work as well as bein aware Listen up boy youre better off eavesdroppin We already got spring 2015 poppin PND droppin Reps-up P droppin Majid Jordan droppin OB droppin not to mention me droppin Feel like we paid the refs off man we fixed the game Me and Noel been at it before Twitter names Yeah been on the move like the lease is up And I cant even name one person thats keepin up Damn fuck how it was in the past tense Ask yourself how do we match up now Cause Im only 27 and Im only gettin better If I havent passed you yet watch me catch up now for real Could it be the way that Ill catch up Could it be the way that Ill catch up Could it be the way that Ill catch up Could it be the way that Ill catch up Could it be the way that Ill catch up Could it be the way that Ill catch up Could it be the way that Ill catch up Could it be the way that Ill catch up Could it be the way that Ill catch up,0 To 100 / The Catch Up,,
Rae Sremmurd,Rap,Hey No flex zone hey no flex zone Hey They know better hey they know better Hey No flex zone hey no flex zone Hey They know better hey they know better Won a gold medal and a gold bezel I treat these hoes special now ya ho jealous Freak hoes got several they tens or better Im a trendsetter Im a go-getter Swae Lee Lee Swae its the same difference H2O lean same thing Niggas throw sets and gangbang Free everybody in the chain gang Its been two days since I laid down Kool Moe Dee five chains on Mr. T them rings on say my fucking name ho Yeah them diamonds so cool yeah that old school mine fo Never heard about you all my hoes they so rude sit on my Balmain zipper Got a airtight schedule fuck your bitch just met her Pink slip no rental got a L full of that killer Beating on my chest like Magilla Hey No flex zone hey no flex zone Hey They know better hey they know better Hey No flex zone hey no flex zone Hey They know better hey they know better Won a gold medal and a gold bezel I treat these hoes special now ya ho jealous Freak hoes got several they tens or better Im a trendsetter Im a go-getter Young niggas got to get to the money Five chains so they look at me funny Roll a seven every time I shoot She said Why you got so many condoms with you I say I\m a player to be honest with you Hublot woo so shiny Went shopping couldve bought an island Talking money when Im with Italians Spilling purple on the red carpet And Im flyer than that nigga on the hang glider Four five six seven chains on just stay in your lane ho Dont you like these A. Wangs Dont you like these gold fangs You a well-known flexer Im a young trendsetter These hoes they reckless they slick they messy Three hoes freak dancing wit the loud singing acapella Chain clang like heavy metal Just killed the haters Hey No flex zone hey no flex zone Hey They know better hey they know better Hey No flex zone hey no flex zone Hey They know better hey they know better Won a gold medal and a gold bezel I treat these hoes special now ya ho jealous Freak hoes got several they tens or better Im a trendsetter Im a go-getter,No Flex Zone,,
Flo Rida Featuring Sage The Gemini & Lookas,Rap,I know what you came here to see If youre a freak then you comin home with me And I know what you came here to do Now bust it open let me see you get loose Its goin down for real Its goin down for real Its goin down for real Your girl just kissed a girl I do bi chicks Shake for a sheik Im throwin these Emirates in the sky Spendin this As-salamu alaykum I love my beaches south beaches surfboard in high tide I could just roll up cause Im swole up So that birthday cake get the cobra Bugatti for real Im cold bruh That auto-biography rover Got the key to my city its over Its no thots only Anna Kournikovas I set records ratchets hol up I set records ratchets hol up I know what you came here to see If youre a freak then you comin home with me And I know what you came here to do Now bust it open let me see you get loose Its goin down for real Its goin down for real Its goin down for real  Sage the Gemini And they already know me Its going down further than femurs Girls get wetter than Katrina Yeah my girl youve never seen her Cause my tints by limousines My touch say its the Midas My team blowin on that slam Make you cough-cough thats Bronchitis Get that ass on the floor Ladies put your lipstick up Double entendre double entendre Then I double up tonkers I know what you came here to see If youre a freak then you comin home with me And I know what you came here to do Now bust it open let me see you get loose Its goin down for real Its goin down for real Its goin down for real Its goin down for real Its goin down for real Lift it drop it shake it pop it Lift it drop it shake it pop it Lift it drop it shake it pop it Lift it drop it shake it Its goin down for real Its goin down for real Its goin down for real Its goin down for real Its goin down for real,G.D.F.R.,,
Pitbull & Ne-Yo,Rap,I know my rent was gon be late bout a week ago I worked my ass off but I still cant pay it though But I got just enough To get off in this club Have me a good time before my time is up Hey lets get it now Oooh!! I want the time of my life Oh baby ooh give me the time of my life Lets get it now Mr. Worldwide Ne-yo This is the last $20 I got But Imma have a good time ballin or out Tell the bartender line up some shots Cause Imma get loose tonight Shes on fire shes so hot Im no liar she burn up the spot Look like Mariah I took another shot Told her drop drop drop drop it like its hot She on the rebound broke up with her ex And Im like Rodman ready on deck I told her I wanna ride out and she said yes We didnt go to church but I got blessed Tonight Imma lose my mind Better get yours cause Im gonna get mine And I just wanna see that thing drawwwwp You know me Im off in the cut Always like a squirrel looking for a nut EverybodyÛªs gone through something EverybodyÛªs gone through something I said everybodyÛªs gone through something EverybodyÛªs gone through something So you might as well you roll it up Pour it up drink it up throw it up tonight,Time Of Our Lives,,
Nicki Minaj Featuring Ariana Grande,Rap,Get on your knees get on your knees get on your knees Baby just get on your knees On your knees! Say pretty please say pretty please say pretty please Baby just say pretty please Pretty please!  Nicki Minaj Ill be back at eleven you just act like a peasant Got a bow on my panties because my ass is a present Yeah its gooder than Meagan you look good when youre beggin its ok you can play with it When Im bouncin it chill out and dont you make a mistake with it Let me see what youre workin with If Im ridin Im murkin it I dont need a dozen roses You aint gotta wine and dine me no I dont need a pretty poet Oooh gettin all emotional You gotta beg for it beg for it I wanna see you lookin up Baby Ima need you to beg for it Get on your knees get on your knees get on your knees Baby just get on your knees On your knees! Say pretty please say pretty please say pretty please Baby just say pretty please Pretty please! Gimme brain assume the position Make me way smarter like you was a magician Paid my dues and tuition its good for your nutrition Get head like a beautician got me twitchin finish your mission You make it come down you make it run down Ima need you to give these other dudes the rundown Got me seein them fireworks Im on my Kate Perry I dont need a dozen roses You aint gotta wine and dine me no I dont need a pretty poet Oooh gettin all emotional You gotta beg for it beg for it I wanna see you lookin up Baby Ima need you to beg for it I dont need a dozen roses You aint gotta wine and dine me no I dont need a pretty poet Oooh gettin all emotional You gotta beg for it beg for it I wanna see you lookin up Baby Ima need you to beg for it Get on your knees get on your knees get on your knees Baby just get on your knees On your knees! Say pretty please say pretty please say pretty please Baby just say pretty please Pretty please!,Get On Your Knees,,
J. Cole,Rap,Oh right oh Oh why na-da-da-da I keep my head high I got my wings to carry me I dont know freedom I want my dreams to rescue me I keep my faith strong I ask the Lord to follow me Ive been unfaithful I dont know why you call on me  This is my canvas Ima paint it how I want it baby oh I This is my canvas Ima paint it paint it paint it how I want it nigga Fuck you cause there there is no right or wrong only a song I like to write alone be in my zone Think back to Forest Hills no perfect home But the only thing like home Ive ever known Until they snatched it from my mama And foreclosed her on the loan Im so sorry that I left you there to deal with that alone I was up in New York City chasing panties getting dome Had no clue what you was going through How could you be so strong And how could I be so selfish I know I can be so selfish I could tell by how I treat you with my girl damn she so selfless But she put up with my ways because she loves me like you do And though it dont always show I love her just like I love you And I need to treat you better Wish you could live forever So we could spend more time together I love you mama I keep my head high I got my wings to carry me I dont know freedom I want my dreams to rescue me I keep my faith strong I ask the Lord to follow me Ive been unfaithful I dont know why you call on me E-e-eee e-e apparently You believe in me you believe in me E-e-eee e-e apparently You believe in me and I thank you for it oh I Another day another rhyme ho Another day another time zone Today I woke up feeling horny so its only right I got two bitches playing on my trombone Keep up never sure where the words would take me Niggas eat em up and regurgitate me Shit trump tight never slurred it lazy Give a virgin the urge to rape me nigga please Best friends really make great for enemies My watch came niggas cant wait for one of these I see you nigga this aint no Rolex its a AP nigga Im hot dog catch up to me niggaÛÓuh couldnt resist Aim for the stars and I shouldn\t have missed But I was riding on fumes so I stopped by the moon Now I\m sitting on the hood of this bitch Like Thanks for the view waiting on thanks from a few Cause without me you wouldnt exist You know that shit gave you the blueprint dont forget Cole is your phone on zero percent Going off now niggas showing off Niggas swear they hard but they flowing soft I\m taking off like boing! on a big ass Boeing Getting head like a coin toss too easy I keep my head high I got my wings to carry me I dont know freedom I want my dreams to rescue me I keep my faith strong I ask the Lord to follow me Ive been unfaithful I dont know why you call on me E-e-eee e-e apparently You believe in me you believe in me E-e-eee e-e apparently You believe in me and I thank you for it oh I,Apparently,,
Kid Ink Featuring Usher & Tinashe,Rap, Usher Kid Ink & Tinashe Okay lets talk about it is you bout it Lets talk about it  can we talk about it But you aint gotta say too much you aint gotta say too much I can read your body language You aint gotta say too much I can read your body language Uh said you aint gotta say too much Yeah now girl keep it G know you speak a lil freak I can hear it in yo accent Theres no other way to explain it In laymans fuck who you came with  Usher Kid Ink & Tinashe Okay lets talk about it is you bout it Lets talk about it  can we talk about it But you aint gotta say too much you aint gotta say too much I can read your body language You aint gotta say too much I can read your body language It aint hard to tell Never had it like this before me You aint know girl better read up on me You tryna get high got to re-up on me We should leave before the lights On girl Im too on  Usher Kid Ink & Tinashe Okay lets talk about it is you bout it Lets talk about it  can we talk about it But you aint gotta say too much you aint gotta say too much I can read your body language You aint gotta say too much Oh they say dont judge a book by its cover  Usher Kid Ink & Tinashe Okay lets talk about it is you bout it Lets talk about it  can we talk about it But you aint gotta say too much you aint gotta say too much I can read your body language You aint gotta say too much I can read your body language,Body Language,,
Pitbull Featuring John Ryan,Rap,Mr. Worldwide to infinity If you think Im burning out I never am Im on fire Im on fire Im on fire Im on fire Fireball If you think Im burning out I never am Im on fire Im on fire Im on fire Im on fire Fireball Fireball I tell her tell her baby baby baby baby baby baby baby baby Im on fire I tell her baby baby baby baby baby baby baby baby Im on fireball,Fireball,,
J. Cole,Rap,Produced by J. Cole Cole Cole world yeah Let me take yall back man As I do so well Wasnt nothin like that Man it wasnt nothin like that first time She was in my math class Long hair brown skin with a fat ass Sat beside me used to laugh had mad jokes The teacher always got mad so we passed notes It started off so innocent She had a vibe and a nigga started diggin it I was a youngin straight crushin tryna play the shit cool But a nigga couldnt wait to get to school Û÷Cause when I seen them thighs on her And them hips on her and them lips on her Got me daydreamin man what Im thinkin how she rides on it If she sits on it if she licks on it Make it hard for me to stand up As time goes by attractions gettin deep and Wet dreamin thinkin that Im smashin but Im sleepin I want it bad and I aint never been obsessed before She wrote a note that said You ever had sex before DamnÛ_ And I aint never did this before no And I aint never did this before no And I aint never did this before no And I aint never did this before no And I aint never did this before nooo I aint never did this before no And I aint never did this before no And I aint never did this before no I wrote back and said Of course I had sex before knowin\ I was frontin\ I said I\m like a pro baby knowin\ I was stuntin\ But if I told the truth I knew that I\d get played out son Hadn\t been in pussy since the day I came out one But she don\t know that So she done wrote back and told me Oh you a pro homie Well I want you to show me My mama gone for the weekend So Saturday baby we can get to freakin\. That\s when my heart start racin\ and my body start sweatin\ Baby you done woke my lil\ man up I\m thinkin\ how that body look naked when you layin\ on the bed Teacher please don\t make me stand up I wrote back like Yeah baby sound like a plan. Still tryna play it cool sound like the man But I was scared to death my nigga my stomach turnin\ Talkin\ shit knowin\ damn well I was a virgin FuckÛ_  And I aint never did this before no And I aint never did this before no And I aint never did this before no And I aint never did this before no And I aint never did this before nooo I aint never did this before no And I aint never did this before no And I aint never did this before no You know that feelin when you know You finna bone for the first time I\m hopin\ that she won\t notice it\s my first time I\m hopin\ that my shit is big enough to fuck with And most of all I\m prayin\ God don\t let me bust quick! Im watchin pornos tryna see just how to stroke right Practice puttin condoms onÛÓhow it go right Im in her crib now a nigga palms sweatin With a pocket full of rubbers and an erection Thats when my hands start touchin And her face start blushin and a nigga roll over on top And then she get my pants unbuckled And her hands start rubbin on me ooh girl dont stop Its time for action Pull out the condoms real smooth yeah just how I practiced But right before I put it in she flinched and grabbed it And said I wanna get somethin\ off my mental I can tell you\re a pro but baby be gentle Û÷causeÛ_   Û÷Cause I ain\t never did this before no And I ain\t never did this before no And I ain\t never did this before no And I ain\t never did this before no And I ain\t never did this before nooo I ain\t never did this before no And I ain\t never did this before no And I ain\t never did this before no,Wet Dreamz,,
J. Cole,Rap,Produced by Phonix Beats and J. Cole First things first rest in peace Uncle Phil For real you the only father that I ever knew I get my bitch pregnant Ima be a better you Prophecies that I made way back in the Ville fulfilled Listen even back when we was broke my team ill Martin Luther King woulda been on Dreamville Talk to a nigga One time for my L.A. sisters One time for my L.A. hoes Lame niggas cant tell the difference One time for a nigga who know Dont save her she dont wanna be saved Dont save her she dont wanna be saved Dont save her she dont wanna be saved Dont save her she dont wanna be saved No role models and Im here right now No role models to speak of Searchin through my memory my memory I couldnt find one Last night I was gettin my feet rubbed By the baddest bitch not Trina but I swear to God This bitch\ll make you call your girl up And tell her Hey what\s good Sorry I\m never comin\ home I\ma stay for good. Then hang the phone up and proceed to lay the wood I came fast like 9-1-1 in white neighborhoods Aint got no shame bout it She think I\m spoiled and I\m rich \cause I can have any bitch I got defensive and said Nah I was the same without it. But then I thought back back to a better me Before I was a B-list celebrity Before I started callin\ bitches bitches so heavily Back when you could get a platinum plaque without no melody You wasnt sweatin me One time for my L.A. sisters One time for my L.A. hoes Lame niggas cant tell the difference One time for a nigga who know Dont save her she dont wanna be saved Dont save her she dont wanna be saved Dont save her she dont wanna be saved Dont save her she dont wanna be saved I want a real love dark skinned Aunt Viv love That Jada and that Will love That leave a toothbrush at your crib love And you aint gotta wonder whether thats your kid love Nigga I dont want no bitch from reality showsÛÓ ÛÓout-of-touch-with-reality hoes Out in Hollywood bringin back five or six hoes Fuck em then we kick em to the do Nigga you know how it go She deserved that she a bird its a bird trap You think if I didnt rap she would flirt back Takin off her skirt let her wear my shirt fore she leave Ima need my shirt back nigga you know how it go One time for my L.A. sisters One time for my L.A. hoes Lame niggas cant tell the difference One time for a nigga who know Dont save her she dont wanna be saved Dont save her she dont wanna be saved Dont save her she dont wanna be saved Dont save her she dont wanna be saved Interlude George W. Bush Theres an old saying in TennesseeÛÓI know its in Texas probably in TennesseeÛÓthat says fool me onceÛ_ shame onÛ_ shame on you. Fool me you cant get fooled again. Fool me one time shame on you Fool me twice cant put the blame on you Fool me three times fuck the peace sign Load the chopper let it rain on you Fool me one time shame on you Fool me twice cant put the blame on you Fool me three times fuck the peace sign Load the chopper let it rain on you My only regret was too young for Lisa Bonet My only regret was too young for Nia Long Now all Im left with is hoes from reality shows Hand her a script the bitch probably couldnt read along My only regret was too young for Sade Adu My only regret could never take Aaliyah home Now all Im left with is hoes up in Greystone With the stale face cause they know its they song She shallow but the pussy deep she shallow she shallow She shallow but the pussy deep she shallow she shallow She shallow but the pussy deep she shallow she shallow She shallow but the pussy deep she shallow she shallow Dont save her she dont wanna be saved Dont save her she dont wanna be saved Dont save her she dont wanna be saved Dont save her she dont wanna be saved Dont save her she dont wanna be saved Dont save her she dont wanna be saved Dont save her she dont wanna be saved Dont save her she dont wanna be saved,No Role Modelz,,
