Song Name,Genre,Lyrics
山鬼,古风,"若有人兮山之阿，
被薜荔兮带女萝。
既含睇兮又宜笑，
子慕予兮善窈窕。
乘赤豹兮从文狸，
辛夷车兮结桂旗。
被石兰兮带杜衡，
折芳馨兮遗所思。
余处幽篁兮终不见天，
路险难兮独后来。
表独立兮山之上，
云容容兮而在下。
杳冥冥兮羌昼晦，
东风飘兮神灵雨。
留灵修兮憺忘归，
岁既宴兮孰华予？
采三秀兮于山间，
石磊磊兮葛蔓蔓。
怨公子兮怅忘归，
君思我兮不得闲。
余处幽篁兮终不见天，
路险难兮独后来。
表独立兮山之上，
云容容兮而在下。
杳冥冥兮羌昼晦，
东风飘兮神灵雨。
留灵修兮憺忘归，
岁既晏兮孰华予？
采三秀兮于山间，
石磊磊兮葛蔓蔓。
怨公子兮怅忘归，
君思我兮不得闲。
山中人兮芳杜若，
饮石泉兮阴松柏
啊……
君思我兮然疑作。
雷填填兮雨冥冥，
猿啾啾兮狖夜鸣。
风飒飒兮木萧萧，
思公子兮徒离忧。
收起"
江南,古风,"作曲 : 林俊杰
作词 : 李瑞洵
风到这里就是粘
粘住过客的思念
雨到了这里缠成线
缠着我们流连人世间
你在身边就是缘
缘分写在三生石上面
爱有万分之一甜
宁愿我就葬在这一天
圈圈圆圆圈圈
天天年年天天 的我
深深看你的脸
生气的温柔 埋怨的温柔 的脸
不懂爱恨情愁煎熬的我们
都以为相爱就像风云的善变
相信爱一天 抵过永远
在这一刹那冻结了时间
不懂怎么表现温柔的我们
还以为殉情只是古老的传言
离愁能有多痛 痛有多浓
当梦被埋在江南烟雨中
心碎了才懂
圈圈圆圆圈圈
天天年年天天 的我
深深看你的脸
生气的温柔 埋怨的温柔 的脸
不懂爱恨情愁煎熬的我们
都以为相爱就像风云的善变
相信爱一天 抵过永远
在这一刹那冻结了时间
不懂怎么表现温柔的我们
还以为殉情只是古老的传言
离愁能有多痛 痛有多浓
当梦被埋在江南烟雨中
心碎了才懂
相信爱一天 抵过永远
在这一刹那冻结了时间
不懂怎么表现温柔的我们
还以为殉情只是古老的传言
离愁能有多痛 痛有多浓
当梦被埋在江南烟雨中
心碎了才懂
收起"
三国恋,古风,"作曲 : Tank
作词 : Tank
将军 北方仓粮占据
六马十二兵 等待你光临
胡琴 诉说英勇事迹
败军 向南远北方离
家乡 在那美的远方
期望在身上 梦想在流浪
肩上 剩下的能量
还能撑到什麽地方
等待良人归来那一刻 眼泪为你唱歌
在我离你远去那一天 蓝色的雨下在我眼前
骄傲的泪 不敢弃守我眼睛
在我离你远去那一天 灰色的梦睡在我身边
我早就该习惯没有你的夜 勇敢的面对
赤壁 烽火连天战役
只挂掉我们 七万个兄弟
长江 水面写日记
连你也能看见涟漪
家乡 在那美的远方
泪水背着光 安静而悲伤
肩上 剩下的能量
还能撑到什麽地方
等待良人归来那一刻 眼泪为你唱歌
在我离你远去那一天 蓝色的雨下在我眼前
骄傲的泪 不敢弃守我眼睛
在我离你远去那一天 灰色的梦睡在我身边
我早就该习惯没有你的夜 勇敢的面对
我试着面对 灰色的夜 还在眼前
等待良人归来那一刻 眼泪为你唱歌
在我离你远去那一天 蓝色的雨下在我眼前
骄傲的泪 不敢弃守我眼睛
在我离你远去那一天 灰色的梦睡在我身边
我早就该习惯没有你的夜 勇敢的面对
收起"
狐言,古风,"月心你可知，金陵城最近热闹啊，六扇门新招的捕快，是个红衣小姑娘。
小姑娘做甚的捕快，打打杀杀成何体统，待本公子出手，救她浪子～回头！
（银临）昆仑有姑娘 策马似脱缰
十指无沾阳春水
却将长刀 扛
六扇门 打怪除妖多繁忙
不如与我做羹汤
红衣当配白裳
（排骨）柔肠百转
梦过三生娥眉赴侠肝义胆
破千帆
一望昆仑万山寒
（合唱）拨弦轻诉衷肠
回眸剑影刀光
一朝红杏泄春光
颦笑皆动荡
虎跃涧 强盗强
风入松 诗几行
夜太长
奈何刀锋有微芒
竹间檐下轻唱
杯间几番思量
今朝红衣战四方
夜醉又何妨
蛇影刀多狷狂
或南行或北望
三更响
独我月下还惆怅
“冷月心，那小姑娘杀敌很猛啊，你行不行？”
“过几日，再过几日，我定能……”
“啊？这可是你说的，君子一言，驷马难追！”
（排骨）昆仑有姑娘我日思夜想
媚香楼畔桃花醉
胡言要闯荡
折红梅 春过冬来平添香
白衣俊郎舞刀枪
万妖逃窜凄凉
（银临）柔肠百转
梦过三生娥眉赴侠肝义胆
破千帆
一望昆仑万山寒
（合唱）拨弦轻诉衷肠
回眸剑影刀光
一朝红杏泄春光
颦笑皆动荡
虎跃涧 强盗强
风入松 诗几行
夜太长
奈何刀锋有微芒
竹间檐下轻唱
杯间几番思量
今朝红衣战四方
夜醉又何妨
蛇影刀多狷狂
或南行或北望
三更响
独我月下还惆怅
（排骨）柔肠百转
梦过三生娥眉赴侠肝义胆
（银临）破千帆
一望昆仑万山寒
（合唱）拨弦轻诉衷肠
回眸剑影刀光
一朝红杏泄春光
颦笑皆动荡
虎跃涧 强盗强
风入松 诗几行
夜太长
奈何刀锋有微芒
收起"
金风玉露,古风,"作曲 : 陈致逸
作词 : 苏恪/镜千
演唱：流浪的蛙蛙/玄觞
-------------
不与往事话沧桑
平生虽漂泊无处安放
时光无声却念念回响
才敢拜月诉清狂
酿一口江湖绵长
旧时的酒窖还沉着香
共醉人间且邀三万场
偏偏人潮中回望
-------------
不与岁月话短长
双眸秋水穿过了诗行
烛火晕湿半生的跌宕
一念灵犀未敢忘
露沾桂花轻摇晃
草木无心未知我情长
荷灯载满相思去流浪
却盼何人能共赏
-------------
推开窗 (推一扇窗)
心思如水流淌 (窗外月光流淌)
漂向远方 (漂向何方 秋水何其漫长)
漫长的时光 (时光茫茫入梦乡 留下心事独躺)
躺在梦乡 (此生愿得一人偿 常伴在心上)
在心上 (痴又何妨)
不曾停止回想 (不敢停止回想)
你的模样 (直怕某天 你已不在天涯)
天涯只彷徨 你身旁 (只彷徨 你身旁）
--------------
飞星坠落你肩膀
余生共守愿年岁无恙
情深不枉
隔千里犹在心上
月色怎如你目光
穿过岁月再与你相望
只待金风玉露梦一场
佳期入梦人同往
只待金风玉露梦一场
却惹人间难忘
--------------
制作人：陈致逸
编曲：陈致逸
混音：陈致逸
母带：杨杰
古筝：顾婧
琵琶：龙丹
弦乐队：朴英弦乐队
弦乐录音：莫家伟
弦乐录音棚：上海广播大厦录音棚
人声录音：郭烁
人声录音棚：陈致逸音乐工作室
制片：王正

收起"
七夕,古风,"作曲 : 许嵩
作词 : 许嵩


江畔暮雨纷纷
夕阳西沉
津渡烛影深深
是我在等
你歌声犹绕耳
清风在侧
恍然发觉琴案已蒙尘
当日罗带轻分缘定今生
时光一去如梭似你穿针
魁星未拜
禅门苔上屐痕
到访三五痴心人
夜幕垂鹊桥会
七夕的念想
皎月归我轻随
烟火对影赏
小城老街上
有情人执手同徜徉
夜幕垂鹊桥会
七夕的念想
你没归我独醉
情话无人讲
也就不用讲
且把浓情化作诗两行
江畔暮雨纷纷
夕阳西沉
津渡烛影深深
是我在等
你歌声犹绕耳
清风在侧
恍然发觉琴案已蒙尘
当日罗带轻分缘定今生
时光一去如梭似你穿针
魁星未拜
禅门苔上屐痕
到访三五痴心人
夜幕垂鹊桥会
七夕的念想
皎月归我轻随
烟火对影赏
小城老街上
有情人执手同徜徉
夜幕垂鹊桥会
七夕的念想
你没归我独醉
情话无人讲
也就不用讲
且把浓情化作诗两行
夜幕垂鹊桥会
七夕的念想
皎月归我轻随
烟火对影赏
小城老街上
有情人执手同徜徉
夜幕垂鹊桥会
七夕的念想
你没归我独醉
情话无人讲
也就不用讲
且把浓情化作诗两行
收起"
画风,古风,"作曲 : 后弦
作词 : 后弦
谁的秀发如烟
晕染了那一年
你的微笑浅浅画风很美
斗篷拂过窗沿
恰逢诗意少年
你檀香惊醒我的笔尖
灯下端砚无眠
提笔难落熟宣
纸上你远去唯有风挂念
红叶拾起被谁
抖去香山残雪
画风人守白卷
你身后风吹一夜
把初见撕成告别
墨未溅 昨日已层层凋谢
我狼毫挥尽尘缘
晕不回爱的瞬间
落叶倦 诗一样画风浓烈
你身后孤心已决
把皓月剪成飞雪
人未远 昨日已冷冷湮灭
我狼毫挥尽尘缘
晕不回爱的瞬间
落叶倦 诗一样画风浓烈
灯下端砚无眠
提笔难落熟宣
纸上你远去唯有风挂念
红叶拾起被谁
抖去香山残雪
画风人守白卷
你身后风吹一夜
把初见撕成告别
墨未溅 昨日已层层凋谢
我狼毫挥尽尘缘
晕不回爱的瞬间
落叶倦 诗一样画风浓烈
你身后孤心已决
把皓月剪成飞雪
人未远 昨日已冷冷湮灭
我狼毫挥尽尘缘
晕不回爱的瞬间
落叶倦 诗一样画风浓烈
斗篷拂过窗沿
恰逢诗意少年
你檀香惊醒我的 笔尖
收起"
Susan说,古风,"作曲 : 陶喆
作词 : 李焯雄
Yeah Susan说
Susan 在那命运月台前面
再上车 春天开始落叶
转接间 话断了线
离台北 南京是多么远 Oh...
那诺言 还会不会兑现 Yeah
不在乎爱情里伤痛在所难免
一个人却一个世界 Oh...
你是否也像我 动摇过几遍
爱只是个错觉 Oh hey yeah

思念 常常思念不常见面
她怀疑Sam是虚拟的脸
但爱情还在上演
那是谁 在放古老唱片 Yeah
那片段 像对未来留言 Oh...
不在乎爱情里伤痛在所难免
一个人却一个世界 Oh...
你是否也像我 动摇过几遍
爱会不会实现 Oh...
「Susan离了洪桐县
将身来在大街前
未曾开言心内惨
过往的君子听我言」
（RAP）Susan离了洪桐县
挂了个牌子在那大街前
被那凶恶群众包围
稍微 等一下
过往的君子请你听我言
哪一位去我南京转
与我那三郎把信传
就 说Susan把命断
来生变一只狗一只马
我当报还 Come On
不在乎爱情里伤痛在所难免
一个人却一个世界 Oh...
我怀疑你像我 动摇过几遍
是否爱本来善变 Oh...
Susan说 我的Susan说
Susan说 我的Susan说
Susan说 我的Susan说
Susan说 我的Susan说

Susan说 我的Susan说
Susan说 我的Susan说
Susan说 我的Susan说
Susan说 我的Susan说
Susan说 我的Susan说
Susan说 我的Susan说
Susan说 我的Susan说

收起"
谁动了我的琴弦,古风,"作曲 : 柯肇雷
作词 : 柯肇雷
谁动了我的琴弦唤我到窗前
流水浮舟你在深夜的那一边
谁倚着我的琴枕梦尽夜满月
还以为各自两边只能做蝴蝶
谁让你我静似月
只能在心里默念
檐下燕替我飞到你身边
谁让你我静似月
各自孤单错弄弦
风吹的帘落见月人不眠
谁动了我的琴弦唤我到窗前
流水浮舟你在深夜的那一边
谁倚着我的琴枕梦尽夜满月
还以为各自两边只能做蝴蝶
谁动了我的那根弦
将要度过的湖面
难预料预料将来的深浅
谁让你动了我的弦
这次一遍又一遍
唤醒了人影孤单嵌入夜
谁让你我静似月
只能在心里默念
檐下燕替我飞到你身边
谁让你我静似月
各自孤单错弄弦
风吹的帘落见月人不眠
收起"
千岁暖,古风,"作曲 : litterzy
作词 : 乘物游心
九鼎慢火 烹煎一味砂
捧卷老庄 至天光暗下
少年提灯 薄雾中来 无奈笑答
于我襟口 别一朵山茶
日月山头 藏着白牙马
流转开落 多少四序花
少年剑上 白云飞渡 长空无暇
剑光未乏 飞檐入一夏

知人间万世不竭 风光与皓月
无意动人 无意传奇诗篇
山门外风波江湖 太深太浅
不如同谁 共上纵云阶
岿然应是三清界 是大道至简
大道何处 依约栖他眉间
山门外走马换人面 太短太缺
不如同谁 闲坐浓荫阶

三春有信 雨水过庭前
相共伞下 得此好时节
葱茏枝头 若得一叶 清风来些
浮光眉眼 惊动白头约

知人间万世不竭 风光与皓月
无意动人 无意传奇诗篇
山门外风波江湖 太深太浅
不如同谁 共上纵云阶

岿然应是三清界 是大道至简
大道何处 依约栖他眉间
山门外走马换人面 太短太缺
不如同谁 闲坐浓荫阶
收起"
