,Artist,Lyrics,Song
19,Belly Featuring The Weeknd,"[""Everybody 'round me sayin' I should relax, cause\nI've been goin' hard 'til my eyes roll backward"", ""All I wanna do is forget about my past, and\nSmoke a little weed, really nothin' too drastic"", ""Any time you see me in a picture and I'm smilin'\nProbably cause I'm faded or I'm chillin' with the fans and"", ""Not really the type to let a nigga talk back, but\nI'mma let it slide cause my niggas too violent"", ""Shout-out to the ones who spend money like a habit\nEven if they had a million dollars they'd be trappin'"", ""Got a couple girls shootin' movies on the mattress"", ""Then I hit the booth, make the motherfuckin' soundtrack\nThen I play it back on that eighty-inch plasma"", ""Then I get 'em faded off that super fantastic\nRoll that grandmaster, smell it through the plastic\nNobody can handle me, I'm gone"", ""When the shit's too strong, the night's too long\nI took too much and I've gone too far\nAnd I might not make it, I might not make it\nThis time I might not make it\nI might not make it, I might not make it\nThis time I might not make it\nI might not make it, I might not make it\nThis time I might not make it, I might not"", 'Bitches know, told a ho, ""It\'s different strokes for different folks""', ""Came up out the north, we was playin' with a different snow"", 'Took my niggas from the 401 to Pacific Coast', ""We no longer put no fish scale on the fishin' boat"", 'Listen ho, I know all you bitches want is liquor, smoke', 'I know all you bitches want is dick and dough', 'Told her, ""You don\'t gotta make it difficult""\nBaby, sit calm, we don\'t need another episode', ""Hippy bitches sendin' me titty pictures"", 'She told me no religion was the new religion', ""She said she don't believe in God but her shoes Christian"", ""I heard she servin' everybody like the soup kitchen"", ""Gettin' hoes higher, gettin' hoes higher\nShe got work in the mornin', I'm gettin' hoes fired"", 'Why the fuck you call it purp when you mix it pink?', ""You know I fuckin' mix the drinks when the shit's too strong"", ""When the shit's too strong, the night's too long\nI took too much and I've gone too far\nAnd I might not make it, I might not make it\nThis time I might not make it\nI might not make it, I might not make it\nThis time I might not make it\nI might not make it, I might not make it\nThis time I might not make it, I might not"", ""('Cause I've been smoking a lot, and I've been drinking)\nI might not make it, oh no I might not make it\n('Cause I've been smoking a lot, and I've been drinking)\nI might not make it, oh no, I might not make it\n('Cause I've been smoking a lot, and I've been drinking)\nI might not make it, oh no I might not make it\n('Cause I've been smoking a lot, and I've been drinking)\nI might not make it, oh no, I might not make it (Ooh)""]",Might Not
20,Drake,"['I should be downtown, whipping on the way to you\nYou got something that belongs to me', 'Your body language says it all\nDespite the things you said to me', ""Who is it that's got you all gassed up?\nChangin' your opinion on me"", ""I was only gone for the last few months\nBut you don't have the time to wait on me"", ""I tried with you\nThere's more to life than sleeping in and getting high with you\nI had to let go of us to show myself what I could do"", ""And that just didn't sit right with you\nAnd now you're tryna make me feel a way, on purpose\nNow you're throwing it back in my face, on purpose\nNow you're talking down on my name, on purpose, yeah\nAnd you don't feel no way, you think I deserve it"", ""World's, world's, world's famous\nWorld's, world's, world's famous"", ""Feel a way, feel a way, young nigga feel a way\nI've stopped listenin' to things you say\n'Cause you don't mean it anyway, yeah\nFeel a way, feel a way, young nigga feel a way"", 'Maybe we just should have did things my way\nInstead of the other way', ""I tried with you\nThere's more to life than sleeping in and getting high with you\nI had to let go of us to show myself what I could do"", ""And that just didn't sit right with you\nAnd now you're tryna make me feel a way, on purpose\nNow you're throwing it back in my face, on purpose\nNow you're talking down on my name, on purpose, yeah\nAnd you don't feel no way, you think I deserve it"", ""World's, world's, world's famous\nWorld's, world's, world's famous"", ""Yeah, yeah, yeah\nYeah, yeah, yeah\nFeel a way, feel a way, young nigga feel a way\nI've stopped listening to things you say\nFeel a way, feel a way, young nigga feel a way\nI've stopped listening to things you say"", '[Produced By Jordan Ullman]']",Feel No Ways
21,Yo Gotti Featuring E-40,"[""Niggas shouldn't beefing over bitches, that's soft"", ""Piecing up on bottles boy don't let me find out\nDon't let me find out, don't let me find out\nThem your homegirl’s shoes, bitch, don’t let me find out\nDon't let me find out, don't let me find out"", ""Trying to steal my swag, that copyright infringement\nYou can't rock all white if your white be looking dingy"", ""Paper over plastic, P.O.P, that's law"", ""Cash on delivery, C.O.D, that's law"", ""Hush your mouth sometime and let 'em teach you, that's law"", ""Know your bail bonds man and your lawyer number by heart, that's law"", ""Interrogation, keep your tongue in park, that's law"", 'Mendocino']",Law
22,Kanye West,"['[Intro: Pastor T.L. Barrett / Choir & Future]', ""You're the only power (power)\nYou're the only power that can\nYou're the only power (power)\nYou're the only power that can\nOoooooo, ooooooo, oooooo\n...other help..."", ""If young Metro don't trust you I'm gon' shoot you"", ""Beautiful mornin', you're the sun in my mornin', babe\nWho can I turn to?\nNothin' unwanted\nAfter all, who can I turn to?\nBeautiful mornin', you're the sun in my mornin', babe\nIf I don't turn to you\nNothin' unwanted\nNo other help I know, I stretch my hands"", ""I just wanna feel liberated, I-I, na-na-na\nWho can I turn to?\nI just wanna feel liberated, I-I, na-na-na\nAfter all, who can I turn to?\nIf I ever instigated, I am sorry\nIf I don't turn to you\nTell me who in here could relate, I-I-I\nNo other help I know, I stretch my hands"", ""Now, if I fuck this model\nAnd she just bleached her asshole\nAnd I get bleach on my T-shirt\nI'ma feel like an asshole"", 'I was high when I met her\nWe was down in Tribeca', ""She'll get under your skin if you let her\nShe'll get under your skin if you-uh\nI don't even wanna talk about it\nI don't even wanna talk about it\nI don't even wanna say nothin'"", ""Everybody gon' say somethin'\nI'd be worried if they said nothin'"", ""Remind me where I know you from\nShe lookin' like she owe you some'n"", 'You know just what we want\nI wanna wake up with you in my...\nI wanna wake up with you in my...', ""Beautiful mornin', you're the sun in my mornin', babe\nWho can I turn to?\nBeautiful mornin'\nNothin' unwanted\nAfter all, who can I turn to?\nBeautiful mornin', you're the sun in my mornin', babe\nIf I don't turn to you\nNothin' unwanted\nNo other help I know, I stretch my hands"", ""I just wanna feel liberated, I-I, na-na-na\nWho can I turn to?\nI just wanna feel liberated, I-I, na-na-na\nAfter all, who can I turn to?\nIf I ever instigated, I am sorry\nIf I don't turn to you\nTell me who in here could relate, I-I-I\nNo other help I know, I stretch my hands""]",Father Stretch My Hands Pt. 1
23,Young Greatness,"['Yeah, yeah, yeah, yeah, yeah, yeah', '[Hook]', 'All my life I hustled just to get that moolah', 'And stack my change up and go see the jeweler', ""Standin' in the kitchen I whip up that work"", ""Standin' in the kitchen I whip up that work"", 'All I ever had was the cocaine\nMy cousin Leeroy was the dope man', ""And GT switchin' four lanes"", 'On the stove whip the coke up like propane', 'On the block where the shots go ""bang!""', 'All my life, you was saved by the bell\nI was saved by the cocaine, ay!', 'Young boys with choppers, young boys with lawyers', 'All my life I hustled just to get that moolah', ""Standin' in the kitchen I whip up that work"", ""Standin' in the kitchen I whip up that work"", 'All my life I hustled just to get that moolah', ""Standin' in the kitchen I whip up that work"", ""Standin' in the kitchen I whip up that work"", ""Got the trap house bumpin'\nFirst in the month where the kids run\nGot the whole block jumping on fire\nName on ring when I come through"", 'Addicted to moolah,', 'no favors', ""This feel like a hell of a day bro\nI'm falling in love with that coco"", 'Shit run in my veins and my whole soul\nGot the whole block in a choke hold\nMiddle finger to the popo\nCool is so coola, addicted to moolah', 'All my life I hustled just to get that moolah', 'And stack my change up and go see the jeweler', ""Standin' in the kitchen I whip up that work"", ""Standin' in the kitchen I whip up that work"", 'All my life I hustled just to get that moolah', 'And stack my change up and go see the jeweler', ""Standin' in the kitchen I whip up that work"", ""Standin' in the kitchen I whip up that work"", 'All my life I hustled just to get that moolah', 'And stack my change up and go see the jeweler', ""Standin' in the kitchen I whip up that work"", ""Standin' in the kitchen I whip up that work"", 'All my life I hustled just to get that moolah', 'And stack my change up and go see the jeweler', ""Standin' in the kitchen I whip up that work"", ""Standin' in the kitchen I whip up that work""]",Moolah
24,Chance The Rapper Featuring Lil Wayne & 2 Chainz,"[""You don't want zero problems, big fella!\nYep!"", 'Igh!', ""If one more label try to stop me\nIt's gon' be some dreadhead niggas in ya lobby, huh huh"", 'You don\'t want no problem, want no problem with me, bih!\nYou don\'t want no problem, want no problem with me\nJust another day, had to pick up all the mail\nThere go Chano ridin\' through the streets, they be like, ""There he go!""\nYou don\'t want no problem, want no problem with me, bih!\nYou don\'t want no problem, want no problem with me\nJust another day, had to pick up all the mail\nThere go Chano ridin\' through the streets, they be like, ""There he go!""', 'Ooh, watch me come and put the hinges in their hands', ""Countin' Benjis while we meetin', make 'em shake my other hand\nMilly rockin', scoopin' all the blessings out my lap"", ""Bitch I know you tried to cheat, you shoulda never took a nap, hey\nFuck wrong with you? What you were thinkin'?\nFuck you thought it was?\nYou talk that talk that make a lame ass nigga fall in love\nNot me, though, bitch you can keep those"", ""Bruh, I'm at your head like Craig did Deebo"", ""Don't tweak, bro, it's never sweet, ho\nMy shooters come for free, so"", ""If one more label try to stop me\nIt's gon' be some dreadhead niggas in ya lobby, huh huh"", 'You don\'t want no problem, want no problem with me\nYou don\'t want no problem, want no problem with me\nYep, yep!\nPull up in the new thing, I\'m like\nYou don\'t want no problem, want no problem with me\nYou don\'t want no problem, want no problem with me\nYou don\'t want no problem, want no problem with me\nYou don\'t want no problem, want no problem with me\nThey be like, ""There he go!""', ""You old Petey Pablo, take your shirt off\nWave 'round your head like a helicopter"", ""I ain't put enough weed in the blunt\nAll you do is smoke tobacco"", ""Where the hell you get them from?\nYeezy said he ain't make them"", ""My niggas chasin' bounty hunters\nAnd gettin' chased by their baby mommas"", 'My first tat was on my stomach', 'Got a pocket full of money\nAnd a mind full of ideas', 'Some of this shit may sound weird\nInside of the Maybach\nLook like it came out of Ikea', 'Run shit like diarrhea', ""Big yacht, no power steering\nAye, aye, captain\nI'm high, captain"", ""I'm so high\nMe and God dappin'"", ""This is my blessin'\nThis is my passion"", 'School of hard knocks\nI took night classes', 'You don\'t want no problem, want no problem with me, bih!\nYou don\'t want no problem, want no problem with me\nYep, yep!\nPull up in the new thing, I\'m like\nThey be like, ""There he go!""', '[Verse 3: Lil Wayne]', 'My deposits, they be on steroids', 'Lord, free the Carter, niggas need the Carter', ""Sacrificin' everything, I feel like Jesus Carter"", 'Hold up, I got this sewed up, my soda poured up', ""My woes up, I'm flippin' those bucks, they doing toe tucks"", 'I rolled up and let the smoke puff\nI lay down, toes up\nHold up, get too choked up when I think of old stuff', 'Move on, put my goons on, they kidnap newborns', 'In the streets my face a coupon', 'Her pussy too warm\nAll these bitches come to do harm\nJust bought a new charm\nFuck the watch, I buy a new arm, you lukewarm', ""I'm Uncle Luke with the hoes"", 'Pretty bitches, centerfolds\nTippy toes around my crib in they robes, just their robes', ""Half a milli' in the safe, another in the pillowcase"", ""Codeine got me movin' slower than a caterpillar race\nFuck wrong with you? What you were thinkin'?\nWhat you thought it was?"", 'I just popped five Percocets and only caught a buzz', ""And if that label try to stop me\nThere gon' be some crazy Weezy fans waitin' in the lobby\nMula, baby"", 'You don\'t want no problem, want no problem with me, bih!\nYou don\'t want no problem, want no problem with me\nJust another day, had to pick up all the mail\nThere go Chano ridin\' through the streets, they be like, ""There he go!""\nYou don\'t want no problem, want no problem with me, bih!\nYou don\'t want no problem, want no problem with me\nJust another day, had to pick up all the mail\nThere go Chano ridin\' through the streets, they be like, ""There he go!""', 'You don\'t want no problem, want no problem with me\nYou don\'t want no problem, want no problem with me\nYou don\'t want no problem, want no problem with me\nYou don\'t want no problem, want no problem with me\nYou don\'t want no problem, want no problem with me\nYou don\'t want no problem, want no problem with me\nThey say so, ridin\' with the payo\'\nThey be like, ""There he go!""', '[Produced by BrassTracks]']",No Problem
25,Drake,"['You used to call me on my\nYou used to, you used to\nYeah', 'You used to call me on my cell phone\nLate night when you need my love\nCall me on my cell phone\nLate night when you need my love', 'And I know when that hotline bling\nThat can only mean one thing\nI know when that hotline bling\nThat can only mean one thing', ""Ever since I left the city, you\nGot a reputation for yourself now\nEverybody knows and I feel left out\nGirl, you got me down, you got me stressed out\n‘Cause ever since I left the city, you\nStarted wearing less and goin' out more\nGlasses of champagne out on the dance floor\nHangin' with some girls I never seen before"", 'You used to call me on my cell phone\nLate night when you need my love\nCall me on my cell phone\nLate night when you need my love', 'I know when that hotline bling\nThat can only mean one thing\nI know when that hotline bling\nThat can only mean one thing', ""Ever since I left the city, you, you, you\nYou and me, we just don't get along\nYou make me feel like I did you wrong\nGoing places where you don't belong\nEver since I left the city, you\nYou got exactly what you asked for\nRunning out of pages in your passport\nHangin' with some girls I've never seen before"", 'You used to call me on my cell phone\nLate night when you need my love\nCall me on my cell phone\nLate night when you need my love', 'And I know when that hotline bling\nThat can only mean one thing\nI know when that hotline bling\nThat can only mean one thing', ""These days, all I do is\nWonder if you're bendin' over backwards for someone else\nWonder if you're rolling up a Backwoods for someone else"", ""Doing things I taught you, gettin' nasty for someone else\nYou don't need no one else\nYou don't need nobody else, no"", ""Why you never alone?\nWhy you always touching road?\nUsed to always stay at home\nBe a good girl, you was in the zone\nYeah, you should just be yourself\nRight now, you're someone else"", 'You used to call me on my cell phone\nLate night when you need my love\nCall me on my cell phone\nLate night when you need my love', 'And I know when that hotline bling\nThat can only mean one thing\nI know when that hotline bling\nThat can only mean one thing', 'Ever since I left the city…', '[Produced by Nineteen85]']",Hotline Bling
26,Drake & Future,"[""If Young Metro don't trust you I'm gon' shoot you\nYeah, yeah\nHalloween\nTaliban, Taliban\nI'm gon' shoot you\nYeah"", ""Jumpman, Jumpman, Jumpman, them boys up to somethin'\nThey just spent like two or three weeks out the country\nThem boys up to somethin', they just not just bluffin'"", ""You don't have to call, I hit my dance like Usher, woo!"", ""I just found my tempo like I'm DJ Mustard, woo!"", 'I hit that Ginobili with my left hand up like woo!', 'Lobster and Céline for all my babies that I miss\nChicken fingers, french fries for them hoes that wanna diss', ""Jumpman, Jumpman, Jumpman, them boys up to somethin'"", 'Uh, uh, uh, I think I need some Robitussin', ""Way too many questions, you must think I trust ya\nYou searchin' for answers, I do not know nothin', woo!"", ""I see 'em tweakin', they know somethin's comin', woo!"", ""Jumpman, Jumpman, Jumpman, them boys up to somethin', woo!\nJumpman, Jumpman, Jumpman, fuck was you expectin', woo!"", 'Chi-Town, Chi-Town, Michael Jordan just had text me, woo!', ""Jumpman, Jumpman, Jumpman, Jumpman, Jumpman, Jumpman\nI just seen the jet take off, they up to somethin'\nThem boys just not bluffin', them boys just not bluffin'"", ""Jumpman, Jumpman, Jumpman, them boys up to somethin'"", ""She was tryna join the team, I told her wait\nChicken wings and fries, we don't go on dates"", 'Nobu, Nobu, Nobu, Nobu, Nobu, Nobu\nI just threw a private dinner in L.A.', ""Trappin' is a hobby, that's the way for me\nMoney comin' fast, we never gettin' sleep\nI, I just had to buy another safe"", 'Bentley Spurs and Phantom, Jordan fadeaway', ""Yeah, Jumpman, Jumpman, I don't need no introduction\nJumpman, Jumpman, Metro Boomin on production, wow!"", 'Hundred cousins out in Memphis, they so country, wow!', 'Tell her stay the night, valet your car, come fuck me now', ""Jumpman, Jumpman, live on TNT, I'm flexin', woo!"", 'Jumpman, Jumpman, they gave me my own collection, woo!', 'Jump when I say jump, girl, can you take direction? Woo!', ""Mutombo with the bitches, you keep gettin' rejected, woo!"", 'Heard they came through Magic City on a Monday\nHeard they had the club wild, it was star-studded', ""A bunch of girls goin' wild when your chain flooded\nAnd I had 'em like wow, cup dirty"", 'Dopeman, dopeman, dopeman, dopeman, dopeman, dopeman\nMoney on the counter, choppers on the floor', 'I just copped that tempo, DJ Mustard, woo!', 'Way too much codeine and Adderall\nWe just count up big racks, whoa!', ""I know I'ma get my bitch back, whoa!"", ""I count all these racks that I have on me now\nI'ma have you like whoa"", ""Chanel N°9, Chanel N°5, well you got 'em both"", ""Jumpman, Jumpman, Jumpman, them boys up to somethin'\nThey just spent like two or three weeks out the country\nThem boys up to somethin', they just not just bluffin'\nJumpman, Jumpman, Jumpman, them boys up to somethin'""]",Jumpman
27,Post Malone,"['Double OT', ""I'm a new three"", '[Chorus]', ""Saucin', saucin', I'm saucin' on you"", ""I'm ballin', I'm ballin', Iverson on you"", 'Watch out, watch out, watch out, yeah', ""That's my shot, that's my shot, that's my shot, yeah"", ""Spendin', I'm spendin' all my fuckin' pay"", 'I got me some braids and I got me some hoes', ""Started rockin' the sleeve, I can't ball with no Joes"", 'You know how I do it, Concords on my toes', '(This shit is hard)', ""I ain't rich yet, but you know I ain't broke, I\nSo if I see it, I like it, buy that from the store, I"", ""I'm with some white girls and they lovin' the coca\nLike they OT"", ""Double OT like I'm KD,"", ""smokin' OG"", ""And you know me, in my 2-3s and my gold teeth\nBitch, I'm smiling, bet you see me from the nosebleeds"", ""I'm a new three and I change out to my new 3s"", 'White Iverson', ""When I started ballin', I was young"", ""You gon' think about me when I'm gone"", 'I need that money like the ring I never won, I won', ""Saucin', saucin', I'm saucin' on you"", ""I'm ballin', I'm ballin', Iverson on you"", ""That's my shot, that's my shot, that's my shot, yeah"", ""Spendin', I'm spendin' all my fuckin' pay"", 'Ooh, Stoney', 'Cigarettes and a headband', 'Commas, commas in my head, man', 'Slumped over like a dead man', ""Red and black, 'bout my bread, man"", ""I'm the answer, never question"", 'Lace up, learn a lesson', ""Bitch, I'm saucin', I do this often, don't do no talkin'\nMy options right when I walk in, jump all them Jordans"", ""I'm ballin', money jumpin'\nLike I'm Davis from New Orleans"", ""Or bitch I'm Harden, I don't miss nothin'"", ""Fuck practice, this shit just happens, know y'all can't stand it"", 'I have it, I never pass it, I work my magic', 'High average, ball on these bastards, it makes me happy', ""It's tragic, I make it happen, and all y'all Shaqtin'"", 'White Iverson', ""When I started ballin' I was young"", ""You gon' think about me when I'm gone"", 'I need that money like the ring I never won, I won', ""Saucin', saucin', I'm saucin' on you"", ""I'm ballin', I'm ballin', Iverson on you"", ""That's my shot, that's my shot, that's my shot, yeah"", ""Spendin', I'm spendin' all my fuckin' pay""]",White Iverson
28,Travis Scott,"['[Produced by Eestbound & WondaGurl]', ""Don't you open up that window\nDon't you let out that antidote (yah)\nPoppin' pills is all we know (ooh)\nIn the hills is all we know (Hollywood)\nDon't go through the front door (through the back)\nIt's lowkey at the night show (ooh)\nSo don't you open up that window (ooh)\nDon't you let out that antidote (yah)"", '[Verse 1]', ""Party on a Sunday (that was fun)\nDo it all again on Monday (one more time)\nSpent a check on a weekend (oh my God)\nI might do it all again (that's boss shit)"", ""I just hit a three peat (ooh)\nFucked three hoes I met this week (Robert Horry)\nI don't do no old hoes (oh, no, no)\nMy nigga, that's a no-no (straight up)"", ""She just want the coco (cocaina)\nI just want dinero (paper huntin', well)\nWho that at the front door? (who that is?)\nIf it's the feds, oh, no, no, no (don't let 'em in, shhh)"", ""Don't you open up that window (yah)\nDon't you let out that antidote (yah, ooh)\nPoppin' pills is all we know (yah)\nIn the hills is all we know (Hollywood)\nDon't go through the front door (in the back)\nIt's lowkey at the night show (ooh)"", 'Ayy, ooh, ooh\nAt the night show (oooohh-wah)\nAt the night show (higher)\nAt the night show (oooohh-wah)\nOoh, at the night show (get lit, my nigga)\nOoh, at the night show', 'Anything can happen at the night show (yuh)\nEverything can happen at the night show (oooohh-wah)\nOoh, at the night show\nAnything can happen at the night show (yuh)\nOoh, at the night show', ""Ooh, your bitch not at home, she at the night show\nOoh (straight up) fuckin' right, ho"", ""Ooh, had to catch a flight for the night show\nOoh (let's go) let's get piped though\nBottles got us right though, we ain't sippin' light, no\nRRRRRR (La Flame)"", ""I ain't got no type though\nOnly got one night though, we can do it twice though"", ""(RRRRRR) It's lit at the night show\nOoh, at the night show (ooh, ooh)\nAt the night show\nOoh, at the night show\nYeah, at the night show\nEverything can happen at the night show\nOoh, at the night show\nAnything can happen at the night show\nOoh"", ""Stackin' up day to day, young nigga\nYou know you gotta go get it, go get it, my nigga"", ""They hatin', they stankin', they waitin'\nDon't be mistaken, we dyin', they stayin'\nLord, I'm on fire, they think that I'm Satan"", ""Callin' me crazy on different occasions\nKickin' the cameraman off of my stages\n'Cause I don't like how he snappin' my angles\nI'm overboard and I'm over-impatient\nOver my niggas and these kids my ages"", ""Dealin' with Mo' shit that's more complicated\nLike these two bitches that might be related"", ""H-Town, you got one\nAnd you Bun B like a number one\nIt's late night, got a late show\nIf you wanna roll, I got a place where..."", ""Poppin' pills is all we know (ooh)\nIn the hills is all we know (Hollywood)\nDon't go through the front door (through the back)\nIt's lowkey at the night show (ooh)\nSo don't you open up that window (ooh)\nDon't you let out that antidote""]",Antidote
29,Fetty Wap Featuring Remy Boyz,"['[Produced by Peoples]', 'Yeaaah baby, 17', '(RemyBoy Lifestyle)', 'Ay, ay, look', ""Baby girl, you're so damn fine though\nI'm tryna know if I could hit it from behind though"", ""I'm sipping on you like some fine wine though\nAnd when it's over, I press rewind though, ay"", 'You talking bands, girl, I got it\nBenjamins all in my pocket', 'I traded in my Trues for some Robins', ""He playing Batman, Fetty's gon' rob him, ay"", ""I got a Glock in my 'Rari, ay\n17 shots, no .38\nI got a Glock in my 'Rari\n17 shots, no .38"", ""I'm like, yeah, she's fine\nWonder when she'll be mine\nShe walk past, I press rewind\nTo see that ass one more time\nAnd I got this sewed up\nRemy Boyz, they know us\nAll fast money, no slow bucks\nNo one can control us\nAy, yeaaah baby"", ""I'm like, yeah, she's fine\nWonder when she'll be mine\nShe walk past, I press rewind\nTo see that ass one more time\nAnd I got this sewed up\nRemy Boyz, they know us\nAll fast money, no slow bucks\nNo one can control us\nAy, yeaaah baby"", 'Verse 2: Montana Bucks', 'Tell me what you see\nIs it money or it’s me?\nI smoke twenty, smell the weed', 'I got hunnies in my V\nThey like, ""Monty, can you be my baby daddy?""\nI’m like yeah', 'I got Robins on my jeans\nYou see the wings on every pair', 'All you see is Remy Boyz\nYou know my niggas everywhere\nAnd if somebody got a problem\nWe could meet up anywhere\nNow go say something\nDon’t you niggas play dumb\nYou know where we came from', 'You don’t want sauce, no A1', ""I'm like, yeah, she's fine\nWonder when she'll be mine\nShe walk past, I press rewind\nTo see that ass one more time\nAnd I got this sewed up\nRemy Boyz, they know us\nAll fast money, no slow bucks\nNo one can control us\nAy, yeaaah baby"", ""Ay, they think they know us\nThey can't control us\nMan I got this sewed up\nRemy Boyz they know us\n679 this is Zoo year baby\nMonty and the Zoovier baby\nZooGang, all my zoo near baby, yeah baby"", 'A thousand on my shoes when I walk through baby', '10.5 for a walkthrough baby', ""ZooGang you know my whole zoo near\nAnd baby I'm Zoovier"", '[Removed for album: P-Dice]', ""She a cutie and she fine, make me wanna make her mine\nShe ain't nothing like them bimbos"", 'If you like it, we can swerve, we can light and stain up here\nBlowing, pluck it out the window', 'We get playing, press rewind, got her singing every time\nTake a high note for me girlfriend\nGot my city looking rude', ""I ain't Diddy, I ain't Loon, but I think I need a girlfriend\nShe feeling great as I'm talking to her\nShe a RemyGirl so I'm gon' pursue her"", ""I brought a lot of loud, lot of Remy to sip on\nThousand dollars when I get my tip on\nI'm off her, asked her if her fatty real\nShe said that's all her, got her with the happy feel\nI'm 'bout to spoil her, got her with the happy feel\nI'm 'bout to spoil her, oh my"", ""I'm like, yeah, she's fine\nWonder when she'll be mine\nShe walk past, I press rewind\nJust to see that ass one more time\nAnd I got this sewed up\nRemy Boyz, they know us\nAll fast money, no slow bucks\nNo one can control us\nAy, yeaaah baby"", 'ZooWap, Monty\nZoowap, Dicey\nYeaah baby, Remy Boyz\nYeaah, yeaaah']",679
30,G-Eazy x Bebe Rexha,"['[Hook: Bebe Rexha & (G-Eazy)]', ""Oh, it's just me, myself and I\nSolo ride until I die\n‘Cause I got me for life (Yeah)\nOh, I don't need a hand to hold\nEven when the night is cold\nI got that fire in my soul"", '[Verse 1: G-Eazy]', 'And as far as I can see, I just need privacy\nPlus a whole lot of tree, fuck all this modesty', ""I just need space to do me\nGive the world what they're tryna see"", ""A Stella Maxwell right beside of me\nA Ferrari, I'm buyin' three\nA closet of Saint Laurent, get what I want when I want"", ""‘Cause this hunger is drivin' me, yeah\nI just need to be alone, I just need to be at home"", ""Understand what I'm speakin' on\nIf time is money I need a loan\nBut regardless I'll always keep keepin' on"", ""Fuck fake friends!\nWe don't take L's, we just make M's"", ""While y'all follow, we just make trends\nI'm right back to work when that break ends"", '[Hook: Bebe Rexha & (G-Eazy)]', ""Oh, it's just me, myself and I\nSolo ride until I die\n‘Cause I got me for life\n(Got me for life, yeah)\nOh I don't need a hand to hold\nEven when the night is cold\nI got that fire in my soul"", '[Post-Hook: Bebe Rexha & (G-Eazy)]', ""I don't need anything to get me through the night\nExcept the beat that's in my heart\nYeah, it's keepin' me alive (Keeps me alive)\nI don't need anything to make me satisfied (You know)\n‘Cause the music does me good\nAnd it gets me every time (Yeah)"", '[Verse 2: G-Eazy]', 'Yeah, and I don\'t like talkin\' to strangers\nSo get the fuck off me, I\'m anxious\nI\'m tryna be cool, but I may just go ape shit\nSay ""Fuck y\'all!"" to all of y\'all faces', ""It changes though now that I'm famous\nEveryone knows how this lifestyle is dangerous\nBut I love it, the rush is amazin'\nCelebrate nightly and everyone rages"", ""I found how to cope with my angers\nI'm swimmin' in money\nSwimmin' in liquor, my liver is muddy\nBut it's all good, I'm still sippin' this bubbly"", ""This shit is lovely, this shit ain't random, I didn't get lucky\nMade it right here ‘cause I'm sick with it, cuddy"", ""They all take the money for granted\nBut don't want to work for it—tell me now, isn't it funny?"", '[Hook: Bebe Rexha & (G-Eazy)]', ""Oh, it's just me, myself and I\nSolo ride until I die\n‘Cause I got me for life\nOh, I don't need a hand to hold\nEven when the night is cold\nI got that fire in my soul"", '[Post-Hook: Bebe Rexha & (G-Eazy)]', ""I don't need anything to get me through the night\nExcept the beat that's in my heart\nYeah, it's keepin' me alive\nI don't need anything to make me satisfied\n‘Cause the music fills me good\nAnd it gets me every time"", '[Bridge: Bebe Rexha & (G-Eazy)]', 'Like, ba-ba-ba-ba-da-ba\nBa-ba-ba-da-ba (Yeah)\nBa-ba-ba-ba-da-ba\nBa-ba-ba-da-ba\nBa-ba-ba-ba-da-ba\nBa-ba-ba-da-ba\n‘Cause the music fills me good\nAnd it gets me every time', '[Verse 3: G-Eazy]', 'Yeah, lonely nights I laid awake\nPray to Lord my soul to take', ""My heart's become too cold to break"", ""Know I'm great, but I'm broke as hell\nHavin' dreams that I'm foldin' cake"", ""All my life I've been told to wait\nBut I'ma get it now, yeah, it's no debate\nYeah"", '[Hook: Bebe Rexha & (G-Eazy)]', ""Oh, it's just me, myself and I\nSolo ride until I die\n‘Cause I got me for life\n(Got me for life, yeah)\nOh, I don't need a hand to hold\nEven when the night is cold\nI got that fire in my soul"", '[Post-Hook: Bebe Rexha & (G-Eazy)]', ""I don't need anything to get me through the night\nExcept the beat that's in my heart\nAnd it's keepin' me alive (Keeps me alive)\nI don't need anything to make me satisfied (You know)\n‘Cause the music fills me good\nAnd it gets me every time"", '[Bridge: Bebe Rexha]', 'Like, ba-ba-ba-ba-da-ba\nBa-ba-ba-da-ba\nBa-ba-ba-ba-da-ba\nBa-ba-ba-da-ba\nBa-ba-ba-ba-da-ba\nBa-ba-ba-da-ba\n‘Cause the music fills me good\nAnd it gets me every time', '[Produced By Michael Keenan]', '[Music Video]']","Me, Myself & I"
